,Unnamed: 0,CRASH_YEAR,CRASH_SEV,Sex,Age,DUI
0,1,2000,F,Female,20-24,F
1,2,2000,F,Female,60-64,F
2,3,2000,F,Male,40-44,F
3,4,2000,F,Male,15-19,T
4,5,2000,F,Female,35-39,F
5,6,2000,F,Female,15-19,T
6,7,2000,F,Male,45-49,F
7,8,2000,F,Male,30-34,F
8,9,2000,F,Male,35-39,F
9,10,2000,F,Male,25-29,F
10,11,2000,F,Male,45-49,F
11,12,2000,F,Female,65-69,F
12,13,2000,F,Male,40-44,T
13,14,2000,F,Female,40-44,T
14,15,2000,F,Male,45-49,T
15,16,2000,F,Male,80+,F
16,17,2000,F,Male,30-34,F
17,18,2000,F,Male,30-34,F
18,19,2000,F,Male,65-69,F
19,20,2000,F,Female,80+,F
20,21,2000,F,Male,20-24,F
21,22,2000,F,Male,15-19,F
22,23,2000,F,Male,15-19,T
23,24,2000,F,Male,20-24,T
24,25,2000,F,Male,40-44,T
25,26,2000,F,Male,20-24,T
26,27,2000,F,Female,40-44,F
27,28,2000,F,Female,25-29,F
28,29,2000,F,Male,20-24,T
29,30,2000,F,Male,30-34,T
30,31,2000,F,Male,35-39,F
31,32,2000,F,Male,25-29,T
32,33,2000,F,Female,15-19,F
33,34,2000,F,Male,45-49,F
34,35,2000,F,Male,55-59,F
35,36,2000,F,Male,70-74,F
36,37,2000,F,Male,35-39,F
37,38,2000,F,Female,35-39,T
38,39,2000,F,Male,20-24,F
39,40,2000,F,Male,20-24,T
40,41,2000,F,Male,40-44,F
41,42,2000,F,Male,15-19,T
42,43,2000,F,Male,50-54,F
43,44,2000,F,Male,25-29,T
44,45,2000,F,Female,35-39,F
45,46,2000,F,Male,40-44,F
46,47,2000,F,Male,40-44,F
47,48,2000,F,Female,55-59,T
48,49,2000,F,Male,60-64,F
49,50,2000,F,Male,60-64,F
50,51,2000,F,Male,20-24,F
51,52,2000,F,Male,25-29,F
52,53,2000,F,Male,20-24,T
53,54,2000,F,Female,80+,F
54,55,2000,F,Male,15-19,T
55,56,2000,F,Male,15-19,T
56,57,2000,F,Male,30-34,T
57,58,2000,F,Male,45-49,F
58,59,2000,F,Male,45-49,F
59,60,2000,F,Male,60-64,F
60,61,2000,F,Male,55-59,F
61,62,2000,F,Male,20-24,T
62,63,2000,F,Female,55-59,F
63,64,2000,F,Male,30-34,F
64,65,2000,F,Female,15-19,F
65,66,2000,F,Male,50-54,F
66,67,2000,F,Female,35-39,T
67,68,2000,F,Male,55-59,F
68,69,2000,F,Male,40-44,F
69,70,2000,F,Male,20-24,F
70,71,2000,F,Male,20-24,T
71,72,2000,F,Male,30-34,T
72,73,2000,F,Male,45-49,F
73,74,2000,F,Male,25-29,T
74,75,2000,F,Female,65-69,F
75,76,2000,F,Male,25-29,T
76,77,2000,F,Male,25-29,T
77,78,2000,F,Male,65-69,F
78,79,2000,F,Male,20-24,T
79,80,2000,F,Male,60-64,F
80,81,2000,F,Male,70-74,F
81,82,2000,F,Female,65-69,F
82,83,2000,F,Male,30-34,F
83,84,2000,F,Female,75-79,F
84,85,2000,F,Male,35-39,T
85,86,2000,F,Male,30-34,F
86,87,2000,F,Male,50-54,F
87,88,2000,F,Male,15-19,T
88,89,2000,F,Male,45-49,F
89,90,2000,F,Male,25-29,T
90,91,2000,F,Male,25-29,T
91,92,2000,F,Male,45-49,F
92,93,2000,F,Female,55-59,T
93,94,2000,F,Female,15-19,F
94,95,2000,F,Female,75-79,F
95,96,2000,F,Female,25-29,F
96,97,2000,F,Female,30-34,F
97,98,2000,F,Female,35-39,F
98,99,2000,F,Male,55-59,F
99,100,2000,F,Male,20-24,F
100,101,2000,F,Female,35-39,F
101,102,2000,F,Female,25-29,T
102,103,2000,F,Male,20-24,T
103,104,2000,F,Female,50-54,F
104,105,2000,F,Male,50-54,F
105,106,2000,F,Male,25-29,T
106,107,2000,F,Female,25-29,T
107,108,2000,F,Female,35-39,F
108,109,2000,F,Female,30-34,T
109,110,2000,F,Female,60-64,F
110,111,2000,F,Male,30-34,F
111,112,2000,F,Male,60-64,F
112,113,2000,F,Female,45-49,F
113,114,2000,F,Female,20-24,F
114,115,2000,F,Male,75-79,F
115,116,2000,F,Female,65-69,F
116,117,2000,F,Male,40-44,F
117,118,2000,F,Male,15-19,F
118,119,2000,F,Male,50-54,F
119,120,2000,F,Male,70-74,F
120,121,2000,F,Male,25-29,F
121,122,2000,F,Male,60-64,F
122,123,2000,F,Male,20-24,F
123,124,2000,F,Male,25-29,T
124,125,2000,F,Male,65-69,F
125,126,2000,F,Male,60-64,F
126,127,2000,F,Male,20-24,T
127,128,2000,F,Male,50-54,F
128,129,2000,F,Female,15-19,F
129,130,2000,F,Male,45-49,F
130,131,2000,F,Male,20-24,T
131,132,2000,F,Male,55-59,F
132,133,2000,F,Female,40-44,F
133,134,2000,F,Female,55-59,F
134,135,2000,F,Male,50-54,T
135,136,2000,F,Female,25-29,T
136,137,2000,F,Female,35-39,F
137,138,2000,F,Male,35-39,F
138,139,2000,F,Male,60-64,F
139,140,2000,F,Male,30-34,F
140,141,2000,F,Female,55-59,T
141,142,2000,F,Female,15-19,T
142,143,2000,F,Male,50-54,F
143,144,2000,F,Male,50-54,F
144,145,2000,F,Female,30-34,T
145,146,2000,F,Female,15-19,T
146,147,2000,F,Male,30-34,F
147,148,2000,F,Female,65-69,F
148,149,2000,F,Female,65-69,F
149,150,2000,F,Male,45-49,F
150,151,2000,F,Male,45-49,F
151,152,2000,F,Male,65-69,F
152,153,2000,F,Male,40-44,F
153,154,2000,F,Male,25-29,T
154,155,2000,F,Male,65-69,F
155,156,2000,F,Male,80+,F
156,157,2000,F,Male,45-49,T
157,158,2000,F,Male,25-29,F
158,159,2000,F,Male,35-39,F
159,160,2000,F,Female,45-49,F
160,161,2000,F,Male,15-19,F
161,162,2000,F,Male,45-49,F
162,163,2000,F,Female,45-49,F
163,164,2000,F,Female,20-24,T
164,165,2000,F,Male,30-34,F
165,166,2000,F,Male,55-59,F
166,167,2000,F,Male,20-24,F
167,168,2000,F,Female,30-34,F
168,169,2000,F,Male,80+,F
169,170,2000,F,Female,65-69,F
170,171,2000,F,Male,50-54,F
171,172,2000,F,Male,20-24,F
172,173,2000,F,Male,20-24,T
173,174,2000,F,Male,55-59,F
174,175,2000,F,Male,15-19,F
